;1;1.5;2;2.5;3;3.5;4;4.5;5;
0;0€|0%|36%|64%;0€|0.0880887%|15.9119%|84%;0€|28.2192%|53.7808%|18%;0€|52.1887%|14.8113%|33%;0€|8%|45.0462%|46.9538%;0€|22.751%|64.249%|13%;0€|6.62087%|77.3791%|16%;0€|0%|9.76241%|90.2376%;0€|14%|44.1172%|41.8828%;
0.1;14€|1%|3%|96%;10€|5%|4%|91%;6.5€|0%|0%|100%;6.4€|1%|0%|99%;5€|0%|2%|98%;3.71429€|0%|3%|97%;3.75€|12%|0%|88%;2.88889€|0%|0%|100%;2.8€|3%|0%|97%;
0.2;115€|0%|9%|91%;77.3333€|0%|0%|100%;67.5€|0%|1%|99%;48.8€|0%|1%|99%;40.3333€|5%|18%|77%;38.2857€|0%|0%|100%;39.25€|0%|41%|59%;36.2222€|5%|85%|10%;30.2€|2.44058%|91.5594%|6%;
0.3;505€|0%|0%|100%;315.333€|1%|0%|99%;270€|0%|3%|97%;191.3€|9%|9%|82%;197.333€|9%|86%|5%;188.929€|10.3857%|79.6143%|10%;297€|49.4006%|50.5994%|-2.22045e-14%;209.667€|44.8867%|45.1133%|10%;268€|47.6294%|52.3706%|-1.11022e-14%;
0.4;1067€|0%|0%|100%;767.5€|0%|0%|100%;545.5€|0%|71%|29%;582.7€|16.9007%|76.0993%|7%;644€|33.6755%|57.3245%|9%;880€|82.2886%|17.7114%|0%;800€|64.8823%|35.1177%|5.55112e-15%;996.5€|93.4579%|6.54206%|0%;1057€|92.8451%|7.15485%|-2.77556e-15%;
0.5;1883€|0%|0%|100%;1311€|0%|12%|88%;1231.5€|19.9028%|72.0972%|8%;1459.3€|65.1699%|26.8301%|8%;1640€|68.9072%|31.0928%|5.55112e-15%;1981.07€|85.3327%|4.6673%|10%;2222€|83.3323%|15.6677%|1%;2526.83€|96.1484%|0%|3.85159%;3090€|100%|0%|0%;
0.6;2767€|0%|0%|100%;2076€|13.3317%|86.6683%|0%;2663€|81.6322%|18.3678%|-8.32667e-15%;3185.9€|96%|0%|4%;3927€|100%|0%|0%;4424€|100%|0%|0%;5148€|100%|0%|0%;5724€|100%|0%|0%;6190€|98.0392%|1.96078%|4.16334e-15%;
0.7;3593€|0%|0%|100%;3280.5€|80.7965%|19.2035%|2.77556e-15%;4568€|100%|0%|0%;5537€|98%|2%|1.73472e-15%;6690€|100%|0%|0%;7997.5€|100%|0%|0%;8892€|100%|0%|0%;10255.5€|100%|0%|0%;11205€|100%|0%|0%;
0.8;4219€|1%|0%|99%;5119.5€|100%|0%|0%;6764€|100%|0%|0%;9035€|100%|0%|0%;10284€|100%|0%|0%;11984€|100%|0%|0%;13604€|100%|0%|0%;15516€|100%|0%|0%;17370€|100%|0%|0%;
0.9;4721€|1%|0%|99%;6702.67€|99.048%|0%|0.952018%;8894€|100%|0%|0%;11147.5€|100%|0%|0%;13440€|100%|0%|0%;15571.5€|100%|0%|0%;17672€|100%|0%|0%;20101.5€|100%|0%|0%;22125€|100%|0%|0%;
1;5227€|0%|29%|71%;7818€|100%|0%|0%;10486€|100%|0%|0%;13027.5€|100%|0%|0%;15738€|100%|0%|0%;18308.5€|100%|0%|0%;20908€|100%|0%|0%;23503.5€|100%|0%|0%;26050€|100%|0%|0%;
